0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Animal products nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw milk,4.163459402,4.741148228,1.930700196,6.191407223,2.282159934,4.03801632,5.140932784,2.053717543,3.828896805,4.222794675,4.088425333,4.273827281,2.04930568,2.615068802,4.550178078,5.371964604,2.73567184,4.983454626,3.033568397,4.758152243,4.256383539,2.186563768,2.293092249,2.193541754,4.090216383,2.834109891,2.794275902,3.10722115,7.169484754,6.967848744,13.23891261,5.545156856
"Wool, silk-worm cocoons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manure (conventional treatment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manure (biogas treatment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Products of forestry, logging and related services (02)",35.53802192,12.61206623,2.022760664,13.57254386,5.11534124,10.57060065,16.4566551,5.077996984,7.626182802,17.03925957,6.567626224,4.370739959,2.694401291,2.307033817,10.61296466,6.556512688,1.355035801,55.79278124,1.89176324,13.16373218,5.918126939,6.013210146,5.02153571,0.851734793,19.82257401,4.864717881,5.876063044,17.47454423,89.65263664,21.87183335,41.55648336,64.79387849
Fish and other fishing products; services incidental of fishing (05),74.38469504,70.04460588,2.266230401,28.40987091,20.97205164,64.26747364,80.86699405,14.83133862,24.90421153,75.10420538,48.97551318,11.20466955,10.5609179,8.907794894,52.20580108,46.27925885,8.974994482,105.8167939,18.29594956,51.5259625,67.85736805,12.44111694,17.15487666,2.166228368,71.26130853,32.76489759,9.698085002,80.57292975,89.46653162,55.75209676,105.9289838,65.90178716
Anthracite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coking Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Bituminous Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Bituminous Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent Fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lignite/Brown Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/Peat Briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crude petroleum and services related to crude oil extraction, excluding surveying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural gas and services related to natural gas extraction, excluding surveying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Gas Liquids,4.192366089,25.10766482,0,31.97267724,0,18.61294808,11.79363332,0,30.72165252,2.442722711,15.07367229,20.37202711,0,6.088074693,9.72759265,10.52332291,0,2.149920579,0,0,0,5.31170492,24.85132959,0,1.285192447,30.50999904,0,4.164325926,27.59158139,0,0,0
Other Hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uranium and thorium ores (12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron ores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickel ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluminium ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious metal ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lead, zinc and tin ores and concentrates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-ferrous metal ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sand and clay,7.438469504,7.004460588,0.22662304,2.840987091,2.097205164,6.426747364,8.086699405,1.483133862,2.490421153,7.510420538,4.897551318,1.120466955,1.05609179,0.890779489,5.220580108,4.627925885,0.897499448,10.58167939,1.829594956,5.15259625,6.785736805,1.244111694,1.715487666,0.216622837,7.126130853,3.276489759,0.9698085,8.057292975,8.946653162,5.575209676,10.59289838,6.590178716
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",7.438469504,7.004460588,0.22662304,2.840987091,2.097205164,6.426747364,8.086699405,1.483133862,2.490421153,7.510420538,4.897551318,1.120466955,1.05609179,0.890779489,5.220580108,4.627925885,0.897499448,10.58167939,1.829594956,5.15259625,6.785736805,1.244111694,1.715487666,0.216622837,7.126130853,3.276489759,0.9698085,8.057292975,8.946653162,5.575209676,10.59289838,6.590178716
Products of meat cattle,88.68893537,129.0498005,33.232149,91.05935604,42.33851885,85.74404916,105.2458243,35.00176537,107.8695144,54.06423495,99.26324057,81.89825385,50.11461071,69.48265333,111.8194413,125.0549117,59.24080853,116.0592857,52.66425371,101.8589852,73.93808459,59.48337102,58.2333531,46.13385552,62.42676044,70.2074431,55.69225822,79.86010099,118.2589882,140.7704764,267.4639052,91.46607628
Products of meat pigs,76.01908746,110.6141147,28.48469914,78.05087659,36.29015902,73.49489927,90.21070651,30.00151318,92.45958369,46.34077281,85.08277763,70.1985033,42.9553806,59.55656001,95.84523541,107.1899243,50.77783589,99.47938773,45.14078889,87.30770161,63.37550107,50.98574657,49.91430265,39.54330473,53.50865181,60.17780837,47.73622133,68.45151513,101.3648471,120.6604084,229.2547759,78.39949396
Products of meat poultry,76.01908746,110.6141147,28.48469914,78.05087659,36.29015902,73.49489927,90.21070651,30.00151318,92.45958369,46.34077281,85.08277763,70.1985033,42.9553806,59.55656001,95.84523541,107.1899243,50.77783589,99.47938773,45.14078889,87.30770161,63.37550107,50.98574657,49.91430265,39.54330473,53.50865181,60.17780837,47.73622133,68.45151513,101.3648471,120.6604084,229.2547759,78.39949396
Meat products nec,247.0620343,359.4958729,92.57527223,253.6653489,117.9430168,238.8584227,293.1847962,97.5049178,300.4936471,150.6075116,276.5190273,228.1451358,139.604987,193.55882,311.4970151,348.3672538,165.0279666,323.3080101,146.7075639,283.7500303,205.9703784,165.7036763,162.2214836,128.5157404,173.9031184,195.5778772,155.1427193,222.4674241,329.435753,392.1463272,745.0780216,254.7983553
products of Vegetable oils and fats,35.77627504,32.44951343,13.20828333,31.25039732,17.45345484,32.4579955,31.77399715,11.41462686,28.39998664,21.96739089,24.1521315,56.61378699,16.89673557,20.22655441,28.84475192,46.11380543,24.43490043,27.58468845,19.01551804,29.50344851,21.32383272,22.70154156,24.85240194,14.33982349,22.07533626,25.16180862,20.98924434,23.55947995,26.88939349,33.89513095,64.40074881,20.79729713
Dairy products,613.6607951,688.8641463,249.2299733,795.5117139,312.4568422,586.3680057,790.0628535,294.3945126,510.4359245,593.0921843,559.0581559,617.9498655,287.0822731,356.0086243,676.2479992,735.4843349,390.3984574,685.396319,413.5997684,620.2226268,575.6671174,324.6200245,320.0838314,285.0126545,583.1306656,417.0734163,398.429363,464.8147664,1027.83404,943.6743106,1792.98119,794.9666079
Processed rice,15.81948177,20.47383558,5.500902465,19.49603936,6.153653508,15.33958337,15.06278906,5.804359654,14.77659977,10.69438636,16.24672953,10.95833142,6.359457043,8.293503915,17.18936413,20.19696297,7.128227583,16.6124313,7.6443239,16.09999622,16.35546811,7.6818223,8.74339156,6.898122867,12.32334657,9.28620061,8.52772022,13.77403313,18.52443476,21.18026518,40.24250383,14.32751445
Sugar,40.79469166,48.85521594,9.805118139,37.75399106,16.10550163,38.24106534,69.18955175,21.65889704,23.16992959,41.60479129,33.43951029,24.55956034,15.73302312,17.64719211,53.32239934,34.50632319,22.04273435,43.28885421,23.67911278,28.16241461,35.3464145,19.53232419,13.21220121,12.18859647,42.55233818,27.01222775,25.09236868,34.77450417,84.41098818,58.9634997,112.0306494,65.28672364
Food products nec,1214.267621,1523.461782,324.3651861,1118.624852,409.1581344,1125.034598,1193.947181,496.8928542,959.4999555,1030.136397,1041.016659,686.3452191,435.3255985,551.559936,1308.239376,1172.927934,533.9019731,1283.927153,541.9577244,1115.940609,1313.553276,527.5730953,543.8311885,384.2974565,870.3931761,664.0797218,608.1614429,963.6763266,1649.156915,1676.570749,3185.484423,1290.099839
Beverages,328.1734024,435.2118464,44.53555816,202.0150806,95.13194911,258.4156878,360.202917,138.8605912,193.2439326,263.3985828,253.2659721,144.3950186,93.37848257,106.0439165,351.6337546,241.6548136,156.7473833,390.6385311,119.1356194,279.0496297,366.7287098,102.5004611,120.6228917,74.21239656,239.811753,149.8153319,150.2157689,279.1864547,556.6810615,454.6528579,863.84043,445.1367521
Fish products,90.84749841,231.5512564,36.03284033,205.9677355,52.58749345,94.3090769,213.973398,103.7079413,358.1691557,161.8620977,219.9741901,210.8523632,16.96752176,64.17338902,128.2356881,254.3625766,91.70774238,296.7306174,100.8779344,338.1976121,137.1791013,63.84890726,198.4677882,63.54281871,205.5823014,63.16480904,55.01101886,180.6558094,398.1669639,157.2010127,298.6819241,307.9577327
Tobacco products (16),345.2917771,258.4834567,117.6567974,337.0078633,91.88497243,160.8545303,243.2708213,91.72149521,339.8034401,157.2187883,306.1769168,383.3135192,108.43121,177.7900149,373.7286178,225.553658,50.51411134,179.8209476,101.72484,144.2583317,431.0060236,79.22024657,145.0356029,222.8726697,150.8340462,111.2169535,115.9749809,183.2142297,422.2415587,252.2411094,479.2581079,326.5779557
Textiles (17),786.3273403,756.8029763,68.08010938,566.4222322,211.2040265,514.7575033,628.3012654,164.6402345,473.1220471,418.5748996,382.1826577,390.9407367,125.7193333,234.9976061,577.2331863,617.9326088,174.8039499,1651.393054,170.8094543,629.9195358,535.5587653,194.3740382,268.3767397,99.32776773,513.2238951,389.1065,262.4891444,615.6246354,1595.484555,894.9905249,1700.481997,1198.934745
Wearing apparel; furs (18),555.7264281,649.145509,60.15887463,524.9245126,167.9584748,453.2579523,456.9658321,134.3278378,451.3319055,257.4128939,374.9010823,335.9334243,122.9607174,280.3635156,488.3087892,616.035863,199.1421824,1305.262081,184.0222275,598.427124,442.8175569,147.1589988,257.1143908,127.454384,346.1243671,435.5554894,285.3230036,414.0010038,915.8289041,681.9783849,1295.758931,708.3375027
Leather and leather products (19),125.0867974,133.4631066,16.34156132,100.6083319,41.58125057,113.1059891,106.4528889,29.8996469,95.20417509,69.93666558,91.86967342,47.04754269,33.52582048,58.14780331,100.3423673,125.9881825,56.08025363,227.7159876,49.11940959,134.5056608,94.305262,37.32308936,57.99615966,39.94698293,71.38502274,105.2493774,65.63238226,94.36868567,148.461101,128.8795785,244.8711992,113.178014
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),213.9346299,32.59866159,150.5693298,87.12650515,39.14834044,65.69306846,103.4060912,207.7458707,23.18032361,172.2316908,52.74090585,131.6970634,200.9600519,212.1924182,15.39279439,66.76037689,127.2460403,69.25371475,128.126743,0,0,66.69292426,114.2816519,147.8754081,34.94470568,383.6001719,108.6726172,26.18825727,202.1201956,74.64867763,141.8324875,0
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper and paper products,145.4813868,64.62018584,10.87817855,66.50450653,24.84705834,47.5302007,72.05231131,21.89674795,37.93877642,74.38281028,33.36611173,25.66121917,16.92369465,14.32767543,55.13551638,39.40190895,12.91616021,227.5009497,11.17980919,65.95594125,34.16124581,28.30451964,27.53225043,7.983836627,84.16617393,27.97896878,31.10284745,88.43293107,350.3478755,94.46746445,179.4881825,252.8681748
Printed matter and recorded media (22),571.1968376,603.7206262,30.0063971,271.2378086,128.2975793,678.7023598,549.5893111,138.1775154,319.8962024,550.0373864,315.6613367,227.6766416,81.34369994,161.682924,418.7385617,443.2184778,117.0549193,815.7237385,150.3018553,434.1715339,554.7179983,131.3012974,226.6059614,43.00316035,555.9264823,303.5660152,113.9280149,620.1995155,930.9619258,666.638297,1266.612764,673.2190278
Coke Oven Coke,2.45149121,2.64852395,21.67803593,0,15.35227511,3.797542477,0,0.57699901,0.595474619,0.535548382,0.200055011,1.174963396,11.22644994,0.470381328,207.5701342,0,12.78482473,1.115506284,1.173186653,0,0,141.7926151,0,1.977383009,0,0.002512318,5.012904912,6.94959411,0,0.41851797,0.795184144,0
Gas Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal Tar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Gasoline,181.7348216,552.4002525,47.84520401,200.3454088,89.14824587,288.3370567,240.3598277,85.94939402,425.4326591,170.1050392,398.3495804,362.8053187,93.88660569,195.1979022,308.7567155,483.4841449,179.2110563,409.5930898,205.3379736,183.8005382,168.6483081,84.29541542,475.0408085,56.1619625,332.0104116,368.5717634,140.2152724,301.3048758,418.9079635,632.1475907,1201.080422,323.9996241
Aviation Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasoline Type Jet Fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerosene Type Jet Fuel,0,31.42417928,0.766586267,60.30100707,1.481756769,26.10221334,72.80562786,10.16139262,17.93866193,57.66780567,25.41383063,23.98883876,0,5.547746089,24.18085148,17.9582279,5.192318805,102.4977716,6.818322981,50.3548969,71.53122438,2.893871977,12.8163984,0,9.597106541,3.530312136,5.964818405,87.12101247,167.8970589,131.525323,249.8981137,129.8580803
Kerosene,0,4.943440484,0,11.56422254,0,0.145055282,2.207680158,0,0,0,3.188320541,0.781332485,0,0,160.8669138,0.019328693,0,2.127084714,0,0,0,0,0,0,0,0,0,35.94192605,5.285989117,0,0,0
Gas/Diesel Oil,378.4053642,515.3114598,54.05459524,801.9390703,133.9413073,600.3708477,530.2579609,130.2255607,343.8910951,477.7419492,225.7210378,383.6450306,198.0502345,158.9798653,642.8883376,511.2557066,64.83050941,314.2722645,105.8220779,392.1468905,1005.287457,141.6675142,366.0377732,63.45070971,545.9640998,362.7188561,210.6672621,627.3722349,404.8576234,300.7900137,571.5010259,313.1325476
Heavy Fuel Oil,127.3308475,459.30186,0,54.64467499,0,258.9479167,94.09670755,0,50.9185681,93.44601435,61.93717364,271.4251234,0,6.475804943,55.34149277,8.048240658,0,367.7926924,0,0,0,0.608950585,3.301254427,0,23.58642433,109.4692036,0,2.89771604,54.98215244,262.1110396,498.0109752,11.40119479
Refinery Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefied Petroleum Gases (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery Feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Spirit & SBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitumen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraffin Waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified Petroleum Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plastics, basic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-fertiliser,14.87693901,14.00892117,0.45324608,5.681974182,4.194410328,12.85349473,16.17339881,2.966267724,4.980842306,15.02084108,9.795102635,2.240933908,2.11218358,1.781558979,10.44116022,9.255851771,1.794998896,21.16335879,3.659189914,10.3051925,13.57147361,2.488223387,3.430975332,0.433245674,14.25226171,6.552979517,1.939617001,16.11458596,17.89330633,11.15041935,21.18579677,13.18035744
P- and other fertiliser,14.87693901,14.00892117,0.45324608,5.681974182,4.194410328,12.85349473,16.17339881,2.966267724,4.980842306,15.02084108,9.795102635,2.240933908,2.11218358,1.781558979,10.44116022,9.255851771,1.794998896,21.16335879,3.659189914,10.3051925,13.57147361,2.488223387,3.430975332,0.433245674,14.25226171,6.552979517,1.939617001,16.11458596,17.89330633,11.15041935,21.18579677,13.18035744
Chemicals nec,597.5439121,754.4542317,149.0030876,580.8712041,180.9587785,526.9279557,488.0540991,114.2923266,349.0285182,486.5993638,270.6319102,435.5329856,317.0312594,207.0523735,451.1114639,639.837422,236.6751584,906.1426421,278.5278985,661.57606,299.026042,253.5892487,470.3134251,126.4238103,394.9582226,283.8949253,305.4809993,322.1033325,584.4631259,579.8261628,1101.669709,436.8772837
Charcoal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additives/Blending Components,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biogasoline,19.67580403,40.35476133,4.100037947,6.87130627,7.575395599,23.98644493,18.562114,4.664819722,35.02219631,46.01387886,40.5934516,15.30988458,8.1995609,12.13961143,30.28303008,48.09166337,7.562459657,33.95349074,11.06694767,17.4945567,24.11023909,5.494228299,47.49310763,4.781634632,144.3931578,31.97570435,12.70458145,29.27626591,157.568241,18.54184611,35.22950761,121.869373
Biodiesels,40.96864717,37.64529593,4.632144355,27.5043436,11.38169775,49.94419531,40.94989089,7.067865587,28.30958363,129.2305053,23.00189702,16.18929171,17.29666279,9.887164603,63.05484507,50.85407163,2.735758175,26.05180773,5.703413637,37.32544027,143.7175458,9.233641728,36.59532203,5.402199235,237.4427961,31.46793124,19.08807326,60.95857667,152.2833394,8.822626594,16.76299053,117.7818256
Other Liquid Biofuels,0.890966778,1.243208479,0,6.60609049,0,4.512517297,0,0,1.226427617,0,0,11.47395839,0,1.065119526,0,0.455101937,0,0,0,0,0,0.17168267,0.510731284,0,0,0,0,0.007229443,1.06E-12,1.001184809,1.902251136,0
Rubber and plastic products (25),369.794039,191.0110626,27.762337,192.4127469,69.60528443,141.536811,228.2610949,59.1674557,104.8321827,200.7630297,104.8059116,73.93079665,47.79181013,42.76020869,152.095734,118.2263277,47.46781174,548.7791685,39.7760664,181.6945045,122.9605027,74.75072467,71.91641091,21.60378027,237.0653948,74.37962036,75.65517028,213.4635712,820.7475957,269.5381254,512.1224383,598.7709919
Glass and glass products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramic goods,89.54671987,75.45174113,3.708700394,57.74063562,26.5054941,67.89047249,120.688324,19.06336429,30.42956033,71.33583979,42.96847373,19.50813225,11.70343472,11.57252201,52.90501451,44.32861395,22.17568075,105.4172126,21.22128413,52.8725708,80.16989563,18.86546687,15.14974528,2.628709766,83.68176114,22.88542752,9.183198576,77.34370262,118.7938398,87.40466466,166.0688629,90.23220651
"Bricks, tiles and construction products, in baked clay",20.13821242,7.14683753,1.146231043,7.691108186,2.898693369,5.990007033,9.325437892,2.877531625,4.321503588,9.655580423,3.72165486,2.476752644,1.526827398,1.307319163,6.014013308,3.715357189,0.76785362,31.61590936,1.07199917,7.459448233,3.353605265,3.407485749,2.845536902,0.482649716,11.23279194,2.756673466,3.329769058,9.90224173,50.80316076,12.3940389,23.5486739,36.71653114
"Cement, lime and plaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash for treatment, Re-processing of ash into clinker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-metallic mineral products,84.24872834,68.5113489,2.695361713,25.093783,13.05469734,71.88243206,56.05465059,7.625587317,13.50112852,62.10875148,58.2360046,4.968796519,5.416374839,9.729493523,37.01208057,27.35499347,9.119090615,118.6771067,15.94301385,48.96401868,66.88653037,8.750611976,5.160602425,1.705015717,82.64339842,23.14563263,14.09446451,38.99347388,100.6447565,81.20781507,154.2948486,88.96291206
Basic iron and steel and of ferro-alloys and first products thereof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious metals,7.928136483,9.801923719,1.946641194,10.04310744,3.103470396,3.590741128,5.928066129,1.966455405,5.985663687,6.240922836,5.570889342,5.78110359,4.226533949,3.521130859,8.506338695,9.216817458,4.363653047,11.13845671,2.546006386,9.945897312,5.655171795,3.450313843,5.471971696,2.708328929,6.195150759,5.428621752,4.854314494,8.633862947,11.16984876,7.888679607,14.98849125,7.91926037
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
