0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Raw milk,4.640484013,4.196862054,1.90186577,6.065562372,2.471215607,4.083685955,5.249904997,2.752947073,3.825186157,4.635732175,4.546082841,4.411282979,1.930734935,2.618350136,5.137676238,5.231576883,2.734903391,4.984854002,3.03800846,4.453547657,4.305933075,2.359063666,2.214035008,2.059753364,4.047285259,2.936572532,2.937300601,3.654969905,7.239543346,6.967848744,13.23891261,5.545156856
"Wool, silk-worm cocoons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manure (conventional treatment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manure (biogas treatment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Products of forestry, logging and related services (02)",53.83051009,14.77032847,2.383516666,15.33434386,6.175777679,11.87223753,18.50145289,7.490566189,8.5308626,18.53847675,6.891379349,3.751982742,2.681618238,1.690191684,14.52208878,5.856011067,2.479545507,45.97769162,2.271401397,16.74240287,8.127834856,6.888843495,8.12109001,0.682858075,22.25377724,5.670668087,6.562880462,20.67591256,57.32562153,21.87183335,41.55648336,64.79387849
Fish and other fishing products; services incidental of fishing (05),87.79693529,69.74305193,1.495428943,26.74803966,26.04308437,72.52657155,86.78250474,32.81661765,20.89391366,93.62435527,56.52875353,9.618446111,7.883110284,5.48190487,79.37223765,41.33475598,10.45107246,104.2329938,15.72678458,44.80938555,73.57415174,12.30921136,14.79667369,1.302541482,77.92342259,37.94351327,9.557325375,102.3586506,81.15358062,55.75209676,105.9289838,65.90178716
Anthracite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coking Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Bituminous Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Bituminous Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent Fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lignite/Brown Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/Peat Briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crude petroleum and services related to crude oil extraction, excluding surveying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural gas and services related to natural gas extraction, excluding surveying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Gas Liquids,5.003268983,28.59340092,0,34.06328754,0,21.05108729,12.39628873,0,32.91830869,3.225381144,17.87978574,24.54455939,0,5.982020511,11.24274198,10.54990356,0,2.546826863,0,0,0,5.30450393,27.04124118,0,1.477171834,32.36572989,0,4.959654064,34.92259216,0,0,0
Other Hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uranium and thorium ores (12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron ores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickel ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluminium ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious metal ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lead, zinc and tin ores and concentrates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-ferrous metal ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sand and clay,8.779693529,6.974305193,0.149542894,2.674803966,2.604308437,7.252657155,8.678250474,3.281661765,2.089391366,9.362435527,5.652875353,0.961844611,0.788311028,0.548190487,7.937223765,4.133475598,1.045107246,10.42329938,1.572678458,4.480938555,7.357415174,1.230921136,1.479667369,0.130254148,7.792342259,3.794351327,0.955732538,10.23586506,8.115358062,5.575209676,10.59289838,6.590178716
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",8.779693529,6.974305193,0.149542894,2.674803966,2.604308437,7.252657155,8.678250474,3.281661765,2.089391366,9.362435527,5.652875353,0.961844611,0.788311028,0.548190487,7.937223765,4.133475598,1.045107246,10.42329938,1.572678458,4.480938555,7.357415174,1.230921136,1.479667369,0.130254148,7.792342259,3.794351327,0.955732538,10.23586506,8.115358062,5.575209676,10.59289838,6.590178716
Products of meat cattle,98.85039024,114.2348193,32.73583685,89.20850844,45.84587039,86.71380733,107.4767171,46.91882186,107.7649762,59.35105367,110.3747478,84.53228205,47.21503023,69.56983873,126.2570556,121.7868011,59.22416779,116.0918755,52.74133541,95.33823672,74.7988148,64.17606534,56.22568496,43.3200617,61.77152596,72.74567919,58.5428602,93.93804027,119.4145884,140.7704764,267.4639052,91.46607628
Products of meat pigs,84.72890591,97.91555938,28.05928873,76.4644358,39.29646033,74.32612057,92.12290037,40.21613302,92.36997963,50.87233172,94.60692665,72.45624176,40.47002591,59.63129034,108.2203334,104.3886866,50.76357239,99.5073219,45.20685892,81.71848862,64.11326983,55.00805602,48.19344425,37.13148146,52.94702224,62.35343931,50.17959446,80.51832023,102.3553615,120.6604084,229.2547759,78.39949396
Products of meat poultry,84.72890591,97.91555938,28.05928873,76.4644358,39.29646033,74.32612057,92.12290037,40.21613302,92.36997963,50.87233172,94.60692665,72.45624176,40.47002591,59.63129034,108.2203334,104.3886866,50.76357239,99.5073219,45.20685892,81.71848862,64.11326983,55.00805602,48.19344425,37.13148146,52.94702224,62.35343931,50.17959446,80.51832023,102.3553615,120.6604084,229.2547759,78.39949396
Meat products nec,275.3689442,318.2255679,91.19268839,248.5094164,127.7134961,241.5598919,299.3994261,130.7024323,300.2024338,165.335078,307.4725116,235.4827857,131.5275842,193.8016936,351.7160835,339.2632318,164.9816103,323.3987961,146.9222915,265.5850881,208.3681269,178.7761821,156.6286938,120.6773147,172.0778223,202.6486778,163.083682,261.6845408,332.654925,392.1463272,745.0780216,254.7983553
products of Vegetable oils and fats,39.87530953,28.72429317,13.0110216,30.61521029,18.89931084,32.82509277,32.4475097,15.30096664,28.37246374,24.11553215,26.85571624,58.43461105,15.91910761,20.25193428,32.56905423,44.90869474,24.42803667,27.59243434,19.04334998,27.61471412,21.57206833,24.49248573,23.9955841,13.4652097,21.84363241,26.07149295,22.06357645,27.71260427,27.15215059,33.89513095,64.40074881,20.79729713
Dairy products,683.9704281,609.7821998,245.5077986,779.3423603,338.3409784,592.9997799,806.8097942,394.6270579,509.9412525,651.0893217,621.6390133,637.8244941,270.4719844,356.4553365,763.5620445,716.2636258,390.2887945,685.588781,414.205131,580.5175801,582.3685901,350.2295777,309.0485385,267.6291769,577.010096,432.1520283,418.8229253,546.7534816,1037.877803,943.6743106,1792.98119,794.9666079
Processed rice,17.63198465,18.12342908,5.418748143,19.0997682,6.663426324,15.51307281,15.38207458,7.780570881,14.76227952,11.74016611,18.06538515,11.31077548,5.991505322,8.303910434,19.40877613,19.66914758,7.126225265,16.61709613,7.655512468,15.06931615,16.54586587,8.287847876,8.441952134,6.477392902,12.19400009,9.621928107,8.964210626,16.2021543,18.70545136,21.18026518,40.24250383,14.32751445
Sugar,45.46870672,43.24661287,9.658681656,36.98661377,17.43969228,38.67356866,70.65616082,29.03310506,23.14747523,45.67322933,37.18272234,25.34944989,14.82272639,17.66933544,60.20714338,33.60455551,22.03654255,43.30100987,23.71377056,26.35952974,35.75789022,21.07324607,12.75669394,11.4451902,42.10570665,27.98881098,26.37671875,40.90464116,85.23583335,58.9634997,112.0306494,65.28672364
Food products nec,1312.282358,1355.939946,312.3853374,1098.654681,447.2454495,1140.271516,1206.367681,643.8784514,942.3782399,1079.020795,1152.898889,689.8198375,400.2464809,552.6954009,1387.918393,1131.771857,500.3023604,1275.88343,530.7896936,1006.124316,1332.735516,560.0206915,512.6590688,363.3894845,832.6353271,695.0900468,638.3995942,1183.502389,1660.921981,1676.570749,3185.484423,1290.099839
Beverages,324.6646909,392.6216446,36.73488065,200.6756685,107.2051227,263.8512168,354.9505622,163.9468884,176.8648082,237.3054314,276.9675494,130.439325,78.08407769,106.6203572,307.8002334,224.8360722,123.2537133,382.34397,107.3487278,222.8089306,374.8887488,101.4137112,104.0414107,72.21711713,208.6725193,162.233263,157.0140222,378.3489228,557.7707007,454.6528579,863.84043,445.1367521
Fish products,101.2562687,204.969057,35.49470071,201.7812916,56.94387697,95.37570484,218.5089862,139.0174001,357.822048,177.6902246,244.5980567,217.6338394,15.98579819,64.25391245,144.7928931,247.7152165,91.6819817,296.8139404,101.0255838,316.5470768,138.7760347,68.88600253,191.6253614,59.66721831,203.4244991,65.44843014,57.82675168,212.5022696,402.0577618,157.2010127,298.6819241,307.9577327
Tobacco products (16),297.1726332,232.8591518,97.04848415,271.9668322,95.08559817,164.2379528,329.0523821,135.2986095,388.7526338,214.6533004,296.5569237,357.6614829,124.8751307,156.3041872,262.249164,201.4553742,85.8320228,208.3876462,98.14735686,244.6348878,422.8106313,85.50580646,112.5883957,152.0705124,169.3335721,115.2378218,123.0833698,145.4703938,468.1211216,252.2411094,479.2581079,326.5779557
Textiles (17),945.8867512,560.7024403,62.44039385,526.2901711,223.5223295,511.9482383,599.4905718,245.9525552,443.3612281,418.5656957,395.3219032,284.8239235,110.3607542,175.3217724,638.8864337,424.0934148,185.1276909,1369.725053,142.5955197,656.2126004,501.9095796,197.2173128,229.2266919,77.31268458,433.6397666,376.7344709,237.9585153,656.7369137,1168.817957,894.9905249,1700.481997,1198.934745
Wearing apparel; furs (18),615.3877636,477.6714095,49.62167694,461.1630517,167.1001381,431.0859707,443.8426552,199.0559163,413.0775532,235.3095102,363.3112022,262.6870022,104.1517661,207.7973421,551.5660855,441.3728322,192.9160531,1145.616799,141.8355247,567.4494719,407.605853,142.8733172,191.3963938,94.37133219,263.8015577,422.6292546,241.9437466,395.1753151,693.5635992,681.9783849,1295.758931,708.3375027
Leather and leather products (19),152.8282212,114.6853683,13.29230752,88.91260199,42.90145116,110.6711699,117.613788,52.3383287,86.1850598,73.34127144,91.89755272,44.34021177,29.24177645,44.70097574,126.5104311,98.39520059,50.2840293,214.1787832,39.05876659,120.7551188,102.5965687,36.92737541,45.76115562,30.39317049,78.28211403,111.0515247,56.69296683,108.4336988,113.7577213,128.8795785,244.8711992,113.178014
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),255.3146542,37.1243844,145.9305157,92.82348098,39.85857384,74.29830633,108.6901491,220.9092193,24.83776053,227.415435,62.559148,158.6708273,213.6519492,208.496029,17.7903436,66.92900552,83.58512938,82.03894727,124.5572724,0,0,66.60250977,124.3522081,132.6952417,40.16467347,406.9321515,123.5715284,31.18984892,255.8230011,74.64867763,141.8324875,0
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper and paper products,214.4158032,68.19564193,12.04097391,72.61569886,29.68457146,52.03971322,80.65870754,34.2639797,40.41037286,81.14362323,33.86472627,22.02840991,17.25580373,11.96369085,67.85886386,35.19218614,17.30528804,187.0573914,12.49702327,81.20054164,41.74289923,31.44884583,36.27555667,6.400850772,93.79922945,31.37634298,34.0519689,101.2154688,228.9887107,94.46746445,179.4881825,252.8681748
Printed matter and recorded media (22),610.3964164,573.4990852,24.87144466,245.882041,144.8151681,654.0412453,573.0550965,204.3975804,238.090539,597.9108863,352.8675928,162.1865684,59.23560441,140.6550606,366.3801626,341.353746,108.3919353,736.9323903,140.5637425,425.4614086,586.9889535,137.1889018,178.8749421,27.47034546,518.0253998,263.163778,95.44547099,712.8418826,813.6423159,666.638297,1266.612764,673.2190278
Coke Oven Coke,2.925667671,3.016222642,21.01016833,0,15.63079773,4.294988511,0,0.613559251,0.638052179,0.707140293,0.237297233,1.415615574,11.93547121,0.462187291,239.9008209,0,8.398070593,1.321444799,1.140502959,0,0,141.6003892,0,1.774394537,0,0.002665127,5.70016935,8.276869595,0,0.41851797,0.795184144,0
Gas Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal Tar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Gasoline,224.7345122,601.3138166,42.82352984,204.7284727,124.4025054,328.185784,283.7366586,140.6511868,444.2851429,213.6673347,483.9841875,316.4669552,84.09706133,198.3524977,401.1553113,457.5324907,208.1118019,429.8824111,229.3805691,207.7940016,172.3349311,98.84643857,434.8251741,37.91706541,387.2528774,418.7465756,148.4157321,354.862681,500.3127175,632.1475907,1201.080422,323.9996241
Aviation Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasoline Type Jet Fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerosene Type Jet Fuel,0,23.59083191,0.790392446,56.77370846,1.423844263,21.32099892,40.28652407,12.17864045,11.49274168,44.28830698,15.55552431,15.84060397,0,5.764086496,15.27115401,14.25738704,3.325452189,52.79145025,4.434419617,87.29000452,52.62831691,3.499454465,11.05458633,0,7.695838917,3.657944838,7.137867747,84.54511186,103.3441132,131.525323,249.8981137,129.8580803
Kerosene,0,5.629746003,0,12.32037702,0,0.1640563,2.320492755,0,0,0,3.781857999,0.941362461,0,0,185.9232052,0.019377515,0,2.519775169,0,0,0,0,0,0,0,0,0,42.80633235,6.690462554,0,0,0
Gas/Diesel Oil,467.9386381,560.9409105,48.38120391,819.4835215,186.9092772,683.343236,625.9516136,213.1065598,359.1301727,600.0871542,274.2450814,334.6449692,177.3995619,161.5491407,835.2792286,483.8133769,75.28550091,329.8398391,118.2125646,443.3380468,1027.262868,166.122074,335.0500328,42.83797437,636.8058388,412.096894,222.9880911,738.8894479,483.5320295,300.7900137,571.5010259,313.1325476
Heavy Fuel Oil,151.9596491,523.0674505,0,58.21774833,0,292.8679098,98.90505529,0,54.55934188,123.3865029,73.46739217,327.0175336,0,6.362996506,63.96136703,8.068569545,0,435.6925173,0,0,0,0.60812504,3.592162617,0,27.10971556,116.1275249,0,3.451139366,69.59076606,262.1110396,498.0109752,11.40119479
Refinery Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefied Petroleum Gases (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery Feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Spirit & SBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitumen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraffin Waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified Petroleum Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plastics, basic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-fertiliser,17.55938706,13.94861038,0.299085788,5.349607932,5.208616875,14.50531431,17.35650095,6.56332353,4.178782732,18.72487106,11.30575071,1.923689221,1.576622057,1.096380974,15.87444753,8.266951197,2.090214492,20.84659877,3.145356917,8.961877109,14.71483035,2.461842273,2.959334738,0.260508296,15.58468452,7.588702656,1.911465074,20.47173011,16.23071612,11.15041935,21.18579677,13.18035744
P- and other fertiliser,17.55938706,13.94861038,0.299085788,5.349607932,5.208616875,14.50531431,17.35650095,6.56332353,4.178782732,18.72487106,11.30575071,1.923689221,1.576622057,1.096380974,15.87444753,8.266951197,2.090214492,20.84659877,3.145356917,8.961877109,14.71483035,2.461842273,2.959334738,0.260508296,15.58468452,7.588702656,1.911465074,20.47173011,16.23071612,11.15041935,21.18579677,13.18035744
Chemicals nec,639.5590412,606.9194287,143.626924,595.824006,203.3389872,483.4652623,461.2876651,295.3538645,306.618362,511.761846,232.7384157,476.1543395,296.3389399,180.7856052,452.8268669,588.8942211,310.9816301,854.5839362,249.1052458,614.9084882,294.3464951,251.3076646,487.4320199,115.4927017,397.0472311,294.4317174,326.8130597,401.1679841,493.9943727,579.8261628,1101.669709,436.8772837
Charcoal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additives/Blending Components,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biogasoline,24.33123261,43.92806746,3.669711542,7.021633523,10.57113556,27.30141705,21.91194864,7.633706294,36.57415846,57.79759904,49.31996832,13.35446949,7.344593736,12.33579982,39.34553565,45.51027942,8.782031308,35.63538748,12.36275352,19.77830957,24.63728476,6.442638634,43.47247315,3.228262421,168.4184107,36.32865572,13.44760614,34.48020608,188.1878639,18.54184611,35.22950761,121.869373
Biodiesels,50.66210676,40.97868613,4.145969824,28.10607088,15.8826649,56.84657768,48.33996314,11.56615116,29.56408526,162.3252182,27.94669553,14.12155663,15.49314198,10.04695118,81.92465048,48.12441174,3.176944411,27.34229215,6.371214459,42.19793191,146.8591866,10.82754733,33.49726379,3.647229061,276.950369,35.75175788,20.20443508,71.7941384,181.8759679,8.822626594,16.76299053,117.7818256
Other Liquid Biofuels,1.063300854,1.415805042,0,7.038045585,0,5.103619003,0,0,1.314119508,0,0,13.8240172,0,1.046565158,0,0.456251469,0,0,0,0,0,0.171449922,0.555737179,0,0,0,0,0.008610166,1.34E-12,1.001184809,1.902251136,0
Rubber and plastic products (25),524.4576721,199.5439335,30.49196996,194.957149,83.03734355,155.0842261,268.1555802,101.5031575,107.8382378,222.1269366,115.4766034,68.8740497,46.04744328,34.47509832,183.6492569,100.2795573,53.90639876,480.8975855,44.29976615,216.9841836,143.210697,81.16016106,86.98170085,17.32031604,273.153497,84.52234163,83.70428733,256.9021565,580.4814179,269.5381254,512.1224383,598.7709919
Glass and glass products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramic goods,97.96851874,83.4335748,3.934397829,44.11583413,29.59901599,72.77213049,156.1747198,38.95908573,26.90066386,81.40628092,57.3519713,22.71499392,6.8181816,5.870123742,67.89709191,30.12994855,18.71185148,125.1370563,21.45355673,53.05318895,82.14903092,18.66544782,13.06717861,1.890415169,96.75937824,25.70984,9.049912094,100.2178286,107.7558869,87.40466466,166.0688629,90.23220651
"Bricks, tiles and construction products, in baked clay",30.50395572,8.369852795,1.350659444,8.689461522,3.499607351,6.727601269,10.48415664,4.244654175,4.834155474,10.50513683,3.905114964,2.126123554,1.519583668,0.957775288,8.229183638,3.318406271,1.405075788,26.05402526,1.287127459,9.487361629,4.605773085,3.903677981,4.601951006,0.386952909,12.61047376,3.213378583,3.718965595,11.71635046,32.48451887,12.3940389,23.5486739,36.71653114
"Cement, lime and plaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash for treatment, Re-processing of ash into clinker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-metallic mineral products,119.6382013,51.4329969,3.334878743,23.62592583,21.61508978,94.36424255,44.11374786,30.9334386,12.35678902,84.7980616,68.74511186,8.530747178,4.851610129,8.553689466,58.43644328,32.57649345,8.343395861,128.3616862,19.14245037,43.05452611,87.48628273,8.657834576,4.451197851,1.366955722,114.8698118,35.97363807,20.83484264,57.79285023,182.5863194,81.20781507,154.2948486,88.96291206
Basic iron and steel and of ferro-alloys and first products thereof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious metals,9.006739992,7.726448775,1.81976499,9.833862816,3.705661686,3.207985344,6.414725026,4.079142198,5.478325995,7.100692285,5.157801195,4.962683916,4.453922112,3.459792805,7.674408248,8.232087333,4.591339117,9.111482242,2.501130886,11.24424239,5.547641159,3.41373227,3.898935977,2.171338183,6.813036652,5.624884756,5.125562313,9.793152648,10.13198126,7.888679607,14.98849125,7.91926037
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
